"","RSD"
"X0.50_86.0652m.z",0.089916
"X3.91_556.7001m.z",0.153821
"X3.91_578.2577m.z",0.414765
"X3.91_579.2519m.z",0.195269
"X3.91_610.2032m.z",0.078004
"X3.91_655.2203m.z",0.143019
"X3.91_680.3751m.z",0.39417
"X3.91_477.1741m.z",0.151885
"X3.91_474.2709m.z",0.511612
"X3.91_351.6886m.z",0.403524
"X3.91_354.1759m.z",0.110104
"X3.91_359.1432m.z",0.070904
"X3.91_368.1221m.z",0.582483
"X3.91_383.2395m.z",0.141304
"X3.91_392.2294m.z",0.201713
"X3.91_410.1820m.z",0.370847
"X3.91_418.2468m.z",0.372154
"X3.91_444.1305m.z",0.142472
"X3.91_447.1838m.z",0.195982
"X3.91_454.2441m.z",0.667604
"X3.91_389.2112m.z",0.070821
"X3.93_284.0580m.z",0.479158
"X3.93_251.0028n",0.101871
"X3.93_296.0481m.z",0.112904
"X3.93_293.1360n",0.299973
"X3.93_321.1469n",0.103797
"X3.93_349.0941m.z",0.107601
"X3.93_379.2435m.z",0.184407
"X3.93_348.6690n",0.412747
"X3.93_385.1506m.z",0.091529
"X3.93_408.1904m.z",0.160285
"X3.93_279.1612n",0.45979
"X3.93_264.0851m.z",0.212077
"X3.91_1164.4225m.z",0.414077
"X3.93_150.1042n",0.122901
"X3.93_191.1422m.z",0.174803
"X3.93_195.5567m.z",0.275266
"X3.91_1094.9850m.z",0.450628
"X3.93_200.0665m.z",0.310492
"X3.93_202.0813m.z",0.379891
"X3.93_203.5462m.z",0.140236
"X3.93_213.0837m.z",0.089008
"X3.93_214.0823m.z",0.254256
"X3.93_215.0867m.z",0.257894
"X3.93_221.0833m.z",0.071988
"X3.93_198.0595n",0.225243
"X3.93_198.2067n",0.425863
"X3.93_201.0592m.z",0.273069
"X3.91_262.1032m.z",0.084571
"X3.88_279.5867m.z",0.332763
"X3.88_287.0823m.z",0.570669
"X3.88_340.7077m.z",0.362105
"X3.88_342.2272m.z",0.108853
"X3.88_344.2445m.z",0.143474
"X3.88_348.7233m.z",0.20259
"X3.88_357.2320m.z",0.172626
"X3.88_366.0602m.z",0.18237
"X3.88_372.2341m.z",0.120361
"X3.88_431.1471m.z",0.529839
"X3.88_496.1914n",0.111742
"X3.88_578.1720m.z",0.240623
"X3.88_579.2026m.z",0.147028
"X3.88_648.3563n",0.242968
"X3.88_267.1286m.z",0.097423
"X3.88_250.1152m.z",0.101378
"X3.86_857.2351m.z",0.454439
"X3.88_159.0454m.z",0.342368
"X3.88_678.4043n",0.196362
"X3.88_162.0898m.z",0.071339
"X3.88_179.5595m.z",0.418424
"X3.88_194.1667m.z",0.557557
"X3.88_195.0685m.z",0.234215
"X3.88_175.1949n",0.382674
"X3.88_239.1359m.z",0.099524
"X3.88_173.5584m.z",0.105735
"X3.88_859.2219m.z",0.450102
"X3.89_453.1313m.z",0.502631
"X3.89_785.2727m.z",0.274047
"X3.89_413.1977n",0.340421
"X3.89_862.2880m.z",0.421882
"X3.91_133.5398m.z",0.241502
"X3.91_157.0587m.z",0.595153
"X3.91_177.1635m.z",0.155167
"X3.91_208.5672m.z",0.355689
"X3.91_251.5739m.z",0.200236
"X3.89_414.1491m.z",0.190124
"X3.89_359.2237m.z",0.095141
"X3.89_84.0476m.z",0.354925
"X3.89_135.0445m.z",0.13181
"X3.89_169.5709m.z",0.163478
"X3.89_219.1740m.z",0.318369
"X3.89_232.0641m.z",0.174191
"X3.89_259.1651m.z",0.093319
"X3.89_287.1441m.z",0.087999
"X3.89_319.1428m.z",0.077565
"X3.89_358.2214m.z",0.108244
"X3.98_682.2548n",0.231861
"X3.98_784.4908m.z",0.294174
"X3.98_848.2737m.z",0.40989
"X3.98_875.2750m.z",0.366793
"X4.00_89.0387m.z",0.318877
"X4.00_140.0520m.z",0.670303
"X4.00_142.0696m.z",0.110509
"X4.00_137.0259n",0.154399
"X4.00_185.0720n",0.093935
"X4.00_178.1334n",0.070021
"X4.00_244.0888m.z",0.146232
"X4.00_245.0936m.z",0.100389
"X3.98_680.2573m.z",0.195302
"X3.98_671.2416m.z",0.141304
"X3.98_564.1966m.z",0.116317
"X3.98_163.5501m.z",0.111533
"X3.98_179.1044m.z",0.128021
"X3.98_255.0696m.z",0.450975
"X3.98_283.0509m.z",0.385724
"X3.98_342.1225m.z",0.427517
"X3.98_377.2726m.z",0.274287
"X3.98_384.2313m.z",0.367826
"X3.98_392.7495m.z",0.364349
"X3.98_401.2629m.z",0.383485
"X3.98_425.1478m.z",0.077503
"X3.98_426.1576m.z",0.123858
"X3.98_529.2804m.z",0.246215
"X4.00_247.1088m.z",0.083369
"X4.00_667.2218m.z",0.174611
"X4.00_674.2649m.z",0.342497
"X4.00_692.3028m.z",0.080561
"X4.00_694.2601m.z",0.275304
"X4.00_695.2340m.z",0.358574
"X4.00_703.2403m.z",0.238833
"X4.00_709.3105m.z",0.176446
"X4.00_913.2627m.z",0.19747
"X4.00_666.2370m.z",0.127564
"X4.00_913.3540m.z",0.308759
"X4.00_1018.8227n",0.333916
"X4.01_103.0542m.z",0.059885
"X4.01_128.0628m.z",0.150644
"X4.01_148.0536n",0.050491
"X4.01_147.0800m.z",0.105483
"X4.01_155.5583m.z",0.129337
"X4.00_643.2380m.z",0.180588
"X4.00_267.0762m.z",0.130817
"X4.00_269.0945m.z",0.1217
"X4.00_271.0627m.z",0.515726
"X4.00_272.0668m.z",0.79871
"X4.00_255.9969n",0.460611
"X4.00_301.0298m.z",0.261936
"X4.00_632.2306m.z",0.165675
"X4.00_412.1285m.z",0.132875
"X4.00_450.1430m.z",0.126255
"X4.00_464.1209m.z",0.248912
"X4.00_476.1779m.z",0.085706
"X4.00_463.3146n",0.496488
"X4.00_618.2916m.z",0.217777
"X4.00_391.2124m.z",0.15668
"X3.94_375.1089m.z",0.390183
"X3.94_383.1378m.z",0.082178
"X3.94_606.1875m.z",0.368277
"X3.94_802.2624m.z",0.314453
"X3.94_858.0716m.z",0.150455
"X3.94_321.1523m.z",0.059483
"X3.94_282.0491m.z",0.138034
"X3.93_583.2238m.z",0.14386
"X3.93_692.3793n",0.365873
"X3.93_878.4830m.z",0.255038
"X3.94_116.0304m.z",0.108504
"X3.94_171.0805m.z",0.458602
"X3.94_211.0642m.z",0.213462
"X3.94_219.0635m.z",0.396806
"X3.94_257.5663m.z",0.478889
"X3.93_598.3099m.z",0.569574
"X3.94_1119.4421m.z",0.475329
"X3.96_476.1256n",0.146052
"X3.96_492.1817m.z",0.10022
"X3.96_499.1617m.z",0.100973
"X3.96_505.2150m.z",0.467654
"X3.96_514.0975m.z",0.123518
"X3.96_524.1727m.z",0.336109
"X3.96_533.1808m.z",0.167408
"X3.96_569.1975m.z",0.113345
"X3.96_591.2586n",0.163283
"X3.96_704.2427m.z",0.264068
"X3.96_814.3475m.z",0.274926
"X3.96_857.7460m.z",0.239838
"X3.96_909.7640m.z",0.465029
"X3.96_910.1039m.z",0.338096
"X3.96_1007.1345m.z",0.347818
"X3.98_154.1244m.z",0.643335
"X3.96_232.1475n",0.169392
"X3.96_263.1895n",0.691405
"X3.96_274.2013m.z",0.088235
"X3.96_459.1518m.z",0.213812
"X3.96_327.1313m.z",0.0726
"X3.96_352.1073m.z",0.207784
"X3.96_380.1501n",0.231246
"X3.96_378.1141m.z",0.441644
"X3.96_392.1124m.z",0.151798
"X3.96_413.6522m.z",0.192045
"X3.96_438.1670m.z",0.173126
"X3.96_343.1409m.z",0.082365
"X4.01_159.1168m.z",0.392155
"X3.86_618.3150n",0.189977
"X3.74_148.0429m.z",0.096557
"X3.74_156.5545m.z",0.542291
"X3.74_172.5281m.z",0.445249
"X3.74_185.0515m.z",0.57653
"X3.74_186.0537m.z",0.083569
"X3.74_268.5747m.z",0.388839
"X3.74_271.0806m.z",0.494753
"X3.74_363.2159m.z",0.256207
"X3.74_355.1224n",0.146927
"X3.74_392.1568m.z",0.090195
"X3.74_397.1224m.z",0.111491
"X3.74_428.0489m.z",0.11787
"X3.72_956.5342m.z",0.230872
"X3.72_542.1094m.z",0.379763
"X3.72_544.1084m.z",0.364209
"X3.72_574.1822m.z",0.197899
"X3.72_655.0297n",0.201548
"X3.74_429.0552m.z",0.083059
"X3.72_638.3604m.z",0.215368
"X3.72_645.6820m.z",0.475557
"X3.72_734.9158m.z",0.438779
"X3.72_791.4561m.z",0.346387
"X3.72_655.6979n",0.217069
"X3.74_434.1312m.z",0.140213
"X3.74_526.1877m.z",0.114311
"X3.76_282.0465m.z",0.099186
"X3.76_283.0424n",0.177411
"X3.76_284.1860m.z",0.09182
"X3.76_302.1423m.z",0.10471
"X3.76_307.1171m.z",0.400073
"X3.76_332.6905n",0.143763
"X3.76_355.1509m.z",0.108696
"X3.76_403.1617m.z",0.099947
"X3.76_407.1461m.z",0.30006
"X3.76_450.1279n",0.161218
"X3.76_488.2684m.z",0.265982
"X3.76_496.1794m.z",0.138211
"X3.76_519.1806m.z",0.096618
"X3.76_521.1564m.z",0.171902
"X3.76_602.1984m.z",0.261984
"X3.76_604.1856m.z",0.268705
"X3.76_590.3519n",0.182942
"X3.76_267.0574m.z",0.248025
"X3.76_218.1512n",0.291466
"X3.74_550.1012m.z",0.285857
"X3.74_559.2721m.z",0.122954
"X3.74_560.3043n",0.197855
"X3.74_590.0098m.z",0.464975
"X3.74_648.3771m.z",0.326391
"X3.74_649.1897m.z",0.209312
"X3.74_650.1911m.z",0.245257
"X3.74_690.2236m.z",0.402725
"X3.74_463.3093n",0.185197
"X3.76_95.0853m.z",0.06685
"X3.76_141.1267m.z",0.128136
"X3.76_143.0404m.z",0.051899
"X3.76_168.0618m.z",0.359808
"X3.76_175.1472m.z",0.173381
"X3.76_182.1911m.z",0.175771
"X3.76_209.0830m.z",0.098553
"X3.76_209.5568n",0.148406
"X3.76_238.5665m.z",0.28604
"X3.72_491.2290m.z",0.119101
"X3.70_215.0848m.z",0.261677
"X3.70_218.1198m.z",0.088264
"X3.70_202.5952n",0.313301
"X3.70_235.1686m.z",0.336406
"X3.70_239.1749m.z",0.296383
"X3.70_246.0796m.z",0.413865
"X3.70_255.0682m.z",0.273259
"X3.70_256.0736m.z",0.437548
"X3.70_274.1163m.z",0.193501
"X3.70_284.5945n",0.439462
"X3.70_342.1306m.z",0.096027
"X3.70_354.1119m.z",0.443427
"X3.70_369.2372m.z",0.141458
"X3.70_376.1324n",0.367014
"X3.70_431.0988m.z",0.461226
"X3.70_433.2350m.z",0.134608
"X3.70_211.0584m.z",0.340061
"X3.69_1166.9991m.z",0.194041
"X3.69_1055.7660m.z",0.391219
"X3.69_490.1592m.z",0.159269
"X3.69_1078.4301n",0.211829
"X3.69_556.1720m.z",0.280561
"X3.70_451.1879m.z",0.210081
"X3.69_651.2173m.z",0.211744
"X3.69_673.2150m.z",0.293766
"X3.69_733.2213m.z",0.329495
"X3.69_778.6742m.z",0.139709
"X3.69_647.2297m.z",0.32806
"X3.70_477.0955m.z",0.145162
"X3.72_303.0520m.z",0.35466
"X3.72_304.2123m.z",0.112109
