Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
85.065__24.64,166020.82174,120086.08327,19509.14147,118112.9565,87039.61996,104898.32903,152651.82014,65984.36172,149758.85754,98183.45473,97731.15547,128301.02182
85.0843__167.65,1645008.20686,1190622.95729,638456.21528,0,1629532.41894,425340.44229,2314313.37182,2527459.04192,3709995.77534,3293045.43331,2888648.78287,3762183.05657
86.0602__37.16,18142.47554,16616.03235,10886.52278,0,0,40055.58588,1212986.02473,661407.86422,1393239.74513,1148858.71605,1007422.72639,1967635.53434
86.0602__129.2,757420.68035,1401437.3743,986969.31026,2559178.25865,1720322.70316,927659.48141,3910272.07896,3044111.48558,3490387.75572,2757396.23265,1869315.63359,4231258.08127
86.0603__31.13,40168.41032,28760.74122,40007.49015,2115.15429,30082.36671,83055.68507,1880331.86961,925490.77154,2595342.86486,1578033.85219,1137072.88981,2198041.28858
86.0966__58.82,95507679.62103,88613771.10909,71913129.46904,0,2871361.94795,120978190.73858,124289527.10497,193556499.1973,184419890.82983,140838594.43458,167559323.738,176065595.45387
86.0966__93.94,24447611.88604,33839015.07872,18306222.10061,0,0,38881672.64366,264723805.50055,119992641.57424,138170927.85858,227352222.75944,88020006.51691,132187666.63023
86.0966__82.57,16330118.15869,29280720.01315,30329806.59365,0,2432433.31135,22107141.53254,118751749.01004,93636719.91825,178579137.16988,254285049.86678,150407626.5723,249566489.18978
86.0966__68.05,175048972.67449,211835241.96262,195847604.48591,324856733.47678,241282511.16983,288748953.47116,122900362.28296,209581146.42487,177805709.7758,168000695.4611,219235350.52669,181380138.7508
86.0966__112.47,232174121.40282,296434730.20178,249900170.5577,318182655.37461,320382689.28819,285853906.32259,62344728.00885,87990374.29879,118488905.79424,128770212.22936,89684412.12976,115630765.50234
86.3224__113.03,7869.68786,86403.08999,140194.5321,122428.33792,119821.68133,16382.27583,0,0,0,24656.13624,0,218710.80431
86.4142__99.45,0,0,0,0,0,0,194280.97559,104339.076,182592.16042,179766.68674,169366.78742,63926.41206
86.9088__78.17,216418.99578,366778.91284,250702.92632,12068.24267,280763.16825,223958.22587,2565704.48103,1946411.1865,3018274.36354,1893355.6845,2669131.42228,2942487.67376
86.9089__119.63,358477.04559,471082.6821,378084.71908,17323.70454,300460.74803,381546.57562,437767.57505,338888.61801,252399.40739,190065.14942,209169.65891,242607.58443
87.0555__125.67,195542.43909,438179.20627,371946.44529,0,957067.21855,121125.54259,1707623.47516,1785615.80662,3673553.16509,2237328.00952,1788698.77355,3789567.36753
87.0807__24.28,10726572.6923,15861006.58178,4908177.35316,15718191.42655,8369954.2801,21065169.96481,19605613.83141,17342193.77814,30385674.055,12447491.83341,14935452.86662,21254247.07103
87.1__94.12,1782287.21956,2340270.52594,2199636.80059,0,1838237.43785,2658906.7147,17021522.88232,7194992.10607,8566272.45216,15070044.91111,5650122.65406,8523792.65085
87.1__82.33,606445.59884,779267.39812,1070621.04313,0,945785.90837,1069344.12945,7694163.1766,5724586.55159,10992832.88802,15359221.32969,9700866.92277,16143044.10657
87.1001__59.14,6353575.18596,5317603.85364,4658363.32391,6300115.1542,5076827.74772,7669117.8019,8172228.67049,12122819.67458,11435920.96823,8872652.05437,11568224.85741,11546028.95715
87.1001__112.34,15818007.26817,17441204.29839,17078378.05002,19122679.91077,19371530.70183,17250463.5533,4720043.01702,158567.7644,5477368.57098,7875334.53209,10487086.62932,8593952.51203
87.1001__68.33,10536674.7611,13724928.85807,12572554.71905,13167562.0864,12927906.28045,17704361.0455,8080735.09674,12087543.16651,9113799.90645,9800624.42705,13441106.30087,10686245.87926
88.0396__118.11,582908.82363,473551.43372,526186.84049,0,993740.18125,695491.17967,4108599.87774,3961933.86831,4306252.4967,5987864.66569,4738964.34877,4764363.89991
88.0634__161.45,5990652.35725,5565827.30796,23231827.96063,3879300.38088,6591815.81478,2658625.76775,7665461.22479,11917821.56697,8034676.79722,10317869.06901,41939233.77629,15008933.86473
88.084__24.45,600429.24374,804082.55302,272354.79181,2549387.97523,148499.20848,2126344.35834,1035719.95574,1000048.4845,1783941.55998,732282.91187,809802.35517,1185149.85613
